id,beds,baths,size,furnish,area_1,area_2,area_3,area_4,area_5,id,description,referral,price,type,rent,postDate
3358,1,2,800,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3358,BRAND NEW ONE BED ROOM POOL GYM PARKING THE PULSE,HAM-B1-BHK,"AED 26,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3359,2,3,"1,350",No,UAE,Dubai,Dubai Silicon Oasis,Platinum Residences 2,NULL,3359,LIGHT AND WARM DESIGNS / UNFURNISHED 1 BED WITH BALCONY,EGR-JVC3-HAIDER,"AED 34,000 /yr",apartment,Yearly,"September 23rd, 2020"
3360,1,1,830,No,UAE,Dubai,JVT Jumeirah Village Triangle,JVT District 4,NULL,3360,2 Bedroom Apt Ocean Heights in Marina 80k,NULL,"AED 80,000 /yr",apartment,Biyearly,"September 24th, 2020"
3361,2,3,"1,350",No,UAE,Dubai,Dubai Marina,West Avenue,NULL,3361,"From Landlord: Pool view, large 1BR Free chiller Excellent condition, Flexible payment",NULL,"AED 55,000 /yr",apartment,NULL,"September 24th, 2020"
3362,1,2,800,No,UAE,Dubai,International City,England Cluster,NULL,3362,"Fully furnished, pool view, direct from owner!",NULL,"AED 37,000 /yr",apartment,Monthly,"September 24th, 2020"
3363,3,3,"2,400",No,UAE,Dubai,International City,International City Phase-2,NULL,3363,"2 Beds + Madis with Lake,Burj  Sea View",HF-R-CH001,"AED 85,000 /yr",apartment,Biyearly,"September 24th, 2020"
3364,1,2,"1,306",No,UAE,Dubai,Jebel Ali,Jebel Ali Village,NULL,3364,Nice studio direct from owner in Jumeirah Lake Towers,NULL,"AED 33,000 /yr",apartment,Yearly,"September 24th, 2020"
3365,2,2,"1,825",No,UAE,Dubai,Dubai South,Emaar South,NULL,3365,Free Month | New Bright 2BR | 3 Bathroom | Laundry Room | High Quality Building and Amenities | Cove,TOTH-10XX01-TFO,"AED 85,000/year in 4 Cheques",apartment,Quarterly,"September 16th, 2020"
3366,1,2,836,No,UAE,Dubai,JVC Jumeirah Village Circle,Crystal Palace,NULL,3366,Brand New | Chiller Free | Kitchen Appliances | Excellent View | 12 cheques,AZCO-JVC-AL-JW-2BR-7825,"AED 60,000 /yr",apartment,Monthly,"September 23rd, 2020"
3367,1,2,750,No,UAE,Dubai,International City,International City Phase-2,NULL,3367,PAY 4CHQS | PRIME LOCTION @24K,FLO2-JVC1-929,"AED 24,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3368,NULL,1,484,No,UAE,Dubai,International City,International City Phase-2,NULL,3368,BRAND NEW SPACIOUS 1BR WITH PARKING ONLY 30k AL WARQA,SNK SHAKTHI  282,"AED 30,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3369,2,3,"1,218",No,UAE,Dubai,Dubai South,Dubai World Central,NULL,3369,Spacious 1 BR Opposite Sharjah American School,1377-Ap-R-0407,"AED 38,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3370,NULL,1,500,Yes,UAE,Dubai,Dubai Production City (IMPZ),The Crescent Tower A,NULL,3370,FULL FURNISHED SMALL 1 BHK TYPE STUDIO  ONLY 30K /-4CH TO 35K 4CH,SJD-DG1-4CH,"AED 30,000 /yr",apartment,Yearly,"September 19th, 2020"
3371,NULL,1,400,No,UAE,Dubai,Al Furjan,Azizi Samia,NULL,3371,Fully Furnished | Ready to Move,AZCO-UM-SIRAJ TOWER-1BR-2498-1,"AED 43,999 /yr",apartment,Yearly,"September 23rd, 2020"
3372,NULL,1,500,No,UAE,Dubai,JVC Jumeirah Village Circle,Uniestate Prime Tower,NULL,3372,Great Offer | 1 BHK | Near Lulu Village,A1735736,"AED 32,000 /yr",apartment,Yearly,"September 23rd, 2020"
3373,1,1,950,No,UAE,Dubai,Al Furjan,Al Fouad Building,NULL,3373,Amazing panoramic view / Spacious 3 BR apartment / 4-5 Chequ,DB-3-1003,"AED 94,000 /yr",apartment,Quarterly,"September 24th, 2020"
3374,2,3,"1,300",No,UAE,Dubai,Business Bay,MBK Tower,NULL,3374,Unfurnished / Amazing Sea  Marina view,DB-2-13,"AED 73,000 /yr",apartment,Quarterly,"September 24th, 2020"
3375,NULL,1,587,No,UAE,Dubai,DAMAC Hills (Akoya by DAMAC),Golf Promenade,NULL,3375,Spacious 2 BR apartment / Fountain  Partial Lake view,ARNO- 2BR- 90,"AED 85,000 /yr",apartment,Yearly,"September 24th, 2020"
3376,2,2,"1,448",Yes,UAE,Dubai,The Views,The Views 2 B,NULL,3376,Awesome View Specious Distress Deal In The Market Brand New 2bhk Only In @3999,mzahraa,"AED 39,999 /yr",apartment,Yearly,"September 24th, 2020"
3377,NULL,1,354,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 13,NULL,3377,@29999 Brand New With awesome View 1Bhk Apartment,mmnshama,"AED 29,999 /yr",apartment,Yearly,"September 24th, 2020"
3378,1,2,670,Yes,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3378,77k Only Cheapest Deal Specious 2Bhk With Double Balcony Full Burj View Maintenance Free Only In 77k,mloft,"AED 78,000 /yr",apartment,Yearly,"September 24th, 2020"
3379,2,3,"1,400",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 1,NULL,3379,Directly from Owner- 1BR in JVC Autumn,NULL,"AED 33,000 /yr",apartment,Monthly,"September 24th, 2020"
3380,1,2,"1,050",No,UAE,Dubai,Al Qusais,Al Qusais 1,NULL,3380,CHEAPEST 1 BED APT IN MAG 214 IN JLT ON HIGHER FLOOR ONLY 38K 4 CHEQUES,ASIF-R-FF-JLT-1BED,"AED 38,000 /yr",apartment,Quarterly,"September 24th, 2020"
3381,1,2,950,No,UAE,Dubai,Al Nahda 1,NULL,NULL,3381,CORNER UNIT 2 BED APT IN PLATINIUM RESIDENCES 2 WITH POOL VIEW ONLY 53K 4 CHEQUES,HAIDER-R-JLT-HUGEFLOOR PLAN- 12 PAYMENT ,"AED 53,000 /yr",apartment,Quarterly,"September 24th, 2020"
3382,3,4,"1,945",No,UAE,Dubai,Remraam,Al Thamam,NULL,3382,NO COMMISSION - DIRECT FROM LANDLORD,NULL,"AED 38,000 /yr",apartment,Quarterly,"September 24th, 2020"
3383,1,2,700,No,UAE,Dubai,International City,Lady Ratan Manor,NULL,3383,Type 05  |  2BR  Marina View  | Chiller Free,275-Ap-R-0566,"AED 90,000 /yr",apartment,NULL,"September 23rd, 2020"
3384,NULL,1,484,No,UAE,Dubai,International City,China Cluster,NULL,3384,Spacious 1 bedroom for rent in England cluster low price,JAK ENGLAND 1 BHK,"AED 23,990 /yr",apartment,Yearly,"September 23rd, 2020"
3385,NULL,1,423,No,UAE,Dubai,Dubai South,MAG 5 Boulevard,NULL,3385,1 Bhk for rent in full facility chiller and maintenance free,JAK 1 BHK CHILLER FREE,"AED 36,900 /yr",apartment,Quarterly,"September 23rd, 2020"
3386,NULL,1,423,No,UAE,Dubai,Al Furjan,Azizi Roy Mediterranean,NULL,3386,Spacious 3 bedroom for rent in chiller free maintenance free,JAK 3 CHK CHILLER FREE,"AED 65,990 /yr",apartment,Quarterly,"September 23rd, 2020"
3387,NULL,1,423,Yes,UAE,Dubai,Al Furjan,Candace Aster,NULL,3387,"Rent 34K in 4Chqs, U type Large 1Bed Room in Mogul Cluster, Discovery Gardens",ARF MOG DG 6,"AED 34,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3388,1,2,"1,025",No,UAE,Dubai,Al Furjan,Azizi Samia,NULL,3388,2 bedroom BRAND NEW! ready to move in!,NULL,"AED 45,000 /yr",apartment,Yearly,"September 23rd, 2020"
3389,1,2,"1,645",Yes,UAE,Dubai,Al Furjan,Candace Acacia,NULL,3389,No Comm-1 B/R Flats- No cooling charge-Direct from Owner,J2,"AED 38,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3390,1,2,714,No,UAE,Dubai,Dubai Production City (IMPZ),Centrium Tower,NULL,3390,"1 MONTH FREE ONE BEDROOM FOR RENT IN PHASE-2 27,000 BY 6 CHQS ONLY",DS-1BHK26K,"AED 25,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3391,NULL,1,723,No,UAE,Dubai,Jebel Ali,Jebel Ali Village,NULL,3391,"1 MONTH FREE ONLY 16,500/-REFURBISHED STUDIO WITH BALCONY FOR RENT IN RUSSIA CLUSTER",DS-stdRsa17k,"AED 16,500 /yr",apartment,Quarterly,"September 23rd, 2020"
3392,2,3,"1,445",No,UAE,Dubai,Al Furjan,Azizi Liatris,NULL,3392,2 BHK + STORE + BALCONY + 3 BATH ROOM AT LOWEST FLOOR,2 BHK C2 THE PULSE PP,"AED 37,000 /yr",apartment,NULL,"September 23rd, 2020"
3393,3,4,"1,703",No,UAE,Dubai,Al Furjan,Azizi Tulip Residence,NULL,3393,Lowest Price  Unfurnished,1138-Ap-R-0525,AED 22000 in 4 Cheques,apartment,Quarterly,"September 23rd, 2020"
3394,2,3,"1,380",No,UAE,Dubai,JBR Jumeirah Beach Residence,Shams,NULL,3394,Brand new studio Unfurnished Chiller free Higher floor,AZCO-MH-SAM-STD-05,"AED 24,000 /yr",apartment,Yearly,"September 23rd, 2020"
3395,3,4,"2,390",No,UAE,Dubai,Dubai Marina,NULL,NULL,3395,MASSIVE STUDIO | MODERN FINISHING | BRAND NEW | CHECK NOW,AZCO-JVC-HM-UNI-STD-3669,"AED 24,999 /yr",apartment,Monthly,"September 23rd, 2020"
3396,1,2,780,No,UAE,Dubai,Dubai Marina,Dream Towers,NULL,3396,Closed Kitchen| 2Months Free| Chiller Free,ZPR-1433151,"AED 39,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3397,2,2,"1,350",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3397,High floor | City views | Contactless tours,1593590149,"AED 70,000 /yr",apartment,Monthly,"September 23rd, 2020"
3398,2,3,"1,100",No,UAE,Dubai,Dubai Marina,Ocean Heights,NULL,3398,Elegant studio | Partial golf curse view | Rent online,1597917423,"AED 33,000 /yr",apartment,Monthly,"September 23rd, 2020"
3399,NULL,1,714,No,UAE,Dubai,JBR Jumeirah Beach Residence,Murjan,NULL,3399,"Amazing Offer 2BHK Furnished in The Views, Partial Golf cores Rent 80K O5O8831807",2BHK The Views,"AED 80,000 /yr",apartment,Yearly,"September 23rd, 2020"
3400,1,2,950,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 10,NULL,3400,EASILY ACCESSIBLE | FURNISHED STD @23K,KBC-JVC4-FAH923,"AED 23,000 /yr",apartment,Yearly,"September 23rd, 2020"
3401,2,3,"1,380",No,UAE,Dubai,JVC Jumeirah Village Circle,Jeewar Tower,NULL,3401,1BR Apartment Apartment With Nice Furniture,NULL,"AED 50,000 /yr",apartment,Yearly,"September 23rd, 2020"
3402,1,2,700,No,UAE,Dubai,Dubai Marina,Dream Towers,NULL,3402,"New Building Both Master Bedroom Balcony Wardrobes, Amenities.",YAS-MZ-242,"AED 42,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3403,1,2,"1,319",Yes,UAE,Dubai,Al Wasl,City Walk,NULL,3403,"12chqs, No Commission Chiller Free 1Month Free Huge 1BHK",YAS-LT1-43,"AED 43,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3404,2,3,"1,452",Yes,UAE,Dubai,Downtown Dubai,NULL,NULL,3404,Chiller Free Specious 1BHK 2Bath Balcony Wardrobe Gym Pool Parking,YAS-1B-30,"AED 31,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3405,1,2,850,No,UAE,Dubai,Arjan,The Wings,NULL,3405,SPECIOUS 3BHK NEAR TO AMENITIES AL THAMAM RIMRAAM.,FV-THAMAM-3B,"AED 65,000/- PER YEAR IN 01 CHEQUE,",apartment,Quarterly,"September 23rd, 2020"
3406,1,2,674,No,UAE,Dubai,Dubai Studio City,Glitz 2,NULL,3406,1BEDROOM FOR RENT IN CBD LADY RATAN ONLY 24K 4CHEQ,FRH-101- 786-000,"AED 24,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3407,1,2,953,No,UAE,Dubai,Dubai Sports City,Canal Residence,NULL,3407,great offer studio for rent /china and france only 17k 4cheq,FRH - 786 CHINA,"AED 17,000 /yr",apartment,NULL,"September 23rd, 2020"
3408,1,2,790,No,UAE,Dubai,Dubai Marina,Dream Towers,NULL,3408,FANTASTIC STUDIO WITH AMAZING FURNISHING MAG 555.,FV-MAG5-ST,"AED 15,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3409,3,2,"2,326",No,UAE,Dubai,Dubai Marina,Trident Waterfront,NULL,3409,"FREE CHILLER, FULLY FURNISHED STUDIO WITH BIG BALCONY, ROY MEDITERRANEAN, AL FURJAN.",FV-ROY-MED-ST,"AED 22,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3410,1,2,"1,000",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3410,"FREE CHILLER, FULLY FURNISHED STUDIO WITH BIG BALCONY, CANDACE ASTER, AL FURJAN.",FV-ASTER-ST,"AED 22,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3411,1,2,900,No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3411,"FREE CHILLER, BRAND NEW 1BHK WITH KITCHN APPLIANCES  BIG BALCONY, AZIZI SAMIA, AL FURJAN.",FV-SAMIA-1B,"AED 37,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3412,1,2,"1,000",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3412,"FREE CHILLER, FULLY FURNISHED 1BHK WITH HUGE TERRACE, CANDACE ACACIA, AL FURJAN.",FV-ACACIA-1BHK-TRC,"AED 41,999 /yr",apartment,Monthly,"September 23rd, 2020"
3413,1,2,900,No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3413,"SPECIOUS 1BHK APT, FULL POOL VIEW, CENTRIUM TOWER, NEAR TO CITY CENTRE, IMPZ.",FV-CENTRIUM-1B-IMPZ,"AED 27,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3414,2,2,"1,600",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3414,"L-SHAPE STUDIO APT WITH STORAGE ROOM, MED CLUSTER, NEAR TO METRO AND CARREFORE, DISCOVERY GARDENS.",FV-DG-LSHP,"AED 23,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3415,2,3,"1,600",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3415,"FREE CHILLER, SPACIOUS 2BHK WITH KITCHN APPLIANCES BIG BALCONY, AZIZI LIATRIS, AL FURJAN.",FV-LIATRIS-2B,"AED 61,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3416,1,NULL,"1,027",No,UAE,Dubai,Al Wasl,City Walk,NULL,3416,"FREE CHILLER, SPECIOUS 3BHK APT WITH BIG BALCONY, AZIZI TULIP, AL FURJAN.",FV-TULIP-3B,"AED 74,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3417,1,1,650,Yes,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Almas East,NULL,3417,STUDIO FOR RENT IN CBD FULL FACILITY BUILDING ONLY 21K 4CHEQ,Mannu Spain S,"AED 21,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3418,3,3,"1,750",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3418,1BEDROOM FOR RENT IN CBD LADY RATAN ONLY 25K 4CHEQ,Mannu Morocco S,"AED 25,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3419,1,2,"1,100",No,UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,NULL,3419,1 BR apartment Dubai Marina nearby DMCC metro station 52k/yr  -OFFERING SPECIAL DISCOUNT for 1 week!,NULL,"AED 52,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3420,2,3,"1,400",No,UAE,Dubai,Al Furjan,NULL,NULL,3420,NO COMMISSION | LARGE CORNER 2 BED W/FULL SEA VIEW,NULL,"AED 90,000 /yr",apartment,Yearly,"September 23rd, 2020"
3421,NULL,1,450,Yes,UAE,Dubai,Jebel Ali,Jebel Ali Village,NULL,3421,Amazing 3 bedrooms and lovely homeowner @ Emaar 6 towers,1717-Ap-R-0148,"AED 145,000 /yr",apartment,Yearly,"September 23rd, 2020"
3422,1,2,950,No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3422,newly renovated 1 bedroom in the same tower of Almaya Supermarket,1717-Ap-R-0146,"AED 50,000 /yr",apartment,Monthly,"September 23rd, 2020"
3423,3,4,"1,870",No,UAE,Dubai,Al Furjan,South Village,NULL,3423,Limited Offer Near To Pond Park 2BHK 2Bath Balcony Wardrobe Parking Maintenance Free,Ramzan NR2 056,"AED 34,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3424,3,4,"1,820",No,UAE,Dubai,Dubai Marina,Marina Residence,NULL,3424,Well maintained 2 Bedrooms with Running Balcony and P Sea View,1717-Ap-R-0149,"AED 85,000 /yr",apartment,Monthly,"September 23rd, 2020"
3425,2,3,"1,421",Yes,UAE,Dubai,Al Barsha,Al Barsha 1,NULL,3425,Neat studio in sought after Jumeirah Beach Residence area,1717-Ap-R-0137,"AED 55,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3426,2,2,"1,576",No,UAE,Dubai,Dubai Marina,Al Yass Tower,NULL,3426,Chiller Free I Fully Furnished Kitchen Appliances,Aish-Florence-40K,"AED 38,000 /yr",apartment,NULL,"September 23rd, 2020"
3427,1,2,923,No,UAE,Dubai,Dubai Marina,Park Island,NULL,3427,PAY MONTHLY | 2BR W/ MAIDS ROOM | 100% CHILLER FREE,AZCO-JVC-OS-JW-2BR-7669,"AED 59,998 /yr",apartment,Monthly,"September 23rd, 2020"
3428,NULL,1,450,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3428,PAY 4CHQS | CHILLER FREE | MARINA VIEW @36K,DRE1-MARINA1-SAME923,"AED 36,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3429,2,1,871,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3429,Pool View | Large Lay Out | Modern Design,bsl_BSA204364_L,"AED 95,000 /yr",apartment,NULL,"September 19th, 2020"
3430,3,3,"1,926",No,UAE,Dubai,JBR Jumeirah Beach Residence,Rimal,NULL,3430,04 Series | 2 Beds+Study | Full Fountain Views,LC-R-12273,"AED 145,000 /yr",apartment,NULL,"September 23rd, 2020"
3431,1,2,805,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3431,BRAND NEW 1BR @ 5500 MONTHLY | FULLY FURNISHED | ALL BILLS INCLUDED | 12 CHEQUES | FREE WIFI,AZCO-ARJAN-KBR-TW-1BR-4794,"AED 65,999 /yr",apartment,Monthly,"September 23rd, 2020"
3432,3,4,"1,649",No,UAE,Dubai,The Greens,Al Ghaf,NULL,3432,Community view | Childrens play area | Flexible paymnets,1597842391,"AED 40,000 /yr",apartment,Monthly,"September 23rd, 2020"
3433,NULL,1,497,No,UAE,Dubai,Dubai Sports City,Elite Sports Residence,NULL,3433,EUROPEAN DESIGN | LAVISH SPACES | POOL AND CANAL VIEW,AZCO-SPORTS-SA-CAN-1BR-2810,"AED 42,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3434,2,2,"1,300",No,UAE,Dubai,Dubai Land,NULL,NULL,3434,1 Bedroom newel renovated in prime location,1717-Ap-R-0147,"AED 50,000 /yr",apartment,Monthly,"September 23rd, 2020"
3435,NULL,1,500,No,UAE,Dubai,Deira,Al Muteena,NULL,3435,spacious 3 Bedrooms in waterfront,1717-Ap-R-0150,"AED 115,000 /yr",apartment,Monthly,"September 23rd, 2020"
3436,2,2,926,No,UAE,Dubai,NSHAMA Town Square,Zahra Breeze Apartments,NULL,3436,Massive Offer 1bhk with 1 month free 33k with balcony hall close kitchen wardrobes parking 2 bath ce,Mr: Sameer 786,"AED 32,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3437,1,2,"1,000",No,UAE,Dubai,JVC Jumeirah Village Circle,Emirates Gardens 1,NULL,3437,Good view for pond park 1bhk just 32k with balcony hall close kitchen gym pol free parking 2 bathroo,Mr SAMEER  5210,"AED 32,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3438,1,2,950,No,UAE,Dubai,JVC Jumeirah Village Circle,Uniestate Prime Tower,NULL,3438,OUT STANDING 1BHK SIZE 1000 SQFT  WITH BALCONY HALL CLOSE KITCHEN WARDROBES FREE PARKING,Mr SAMEER 49674,"AED 32,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3439,NULL,1,550,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 11,NULL,3439,Offer time) 1bhk with 1 month free with balcony hall close kitchen wardrobes gym pol parking rent 32,Mr Sameer ..,"AED 32,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3440,2,3,"1,220",No,UAE,Dubai,Dubai Sports City,Victory Heights,NULL,3440,Lavish Limited offer 2bhk just 37k with balcony hall close kitchen wardrobes free parking close to p,sameer 875,"AED 37,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3441,NULL,1,505,No,UAE,Dubai,JVC Jumeirah Village Circle,Tuscan Residences,NULL,3441,2BHK Flexible Payments || 30 Days Free || 2 BHK With 3 Baths Balcony Close Kitchen Full Facilities |,Mr SAMEER 2BHK 44K 1 MOTH FREE,"AED 44,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3442,2,3,"1,700",No,UAE,Dubai,The Palm Jumeirah,Marina Residences,NULL,3442,Directly from European Landlord: Top floor One bedroom apartment- City Walk Building 10,NULL,"AED 100,000 /yr",apartment,Yearly,"September 23rd, 2020"
3443,NULL,1,554,Yes,UAE,Dubai,Dubai Marina,Yacht Bay,NULL,3443,1BR Apartment With Full Lake View,NULL,"AED 46,000 /yr",apartment,NULL,"September 23rd, 2020"
3444,2,2,"1,354",No,UAE,Dubai,The Views,Panorama at the Views,NULL,3444,55k just 3bhk with balciny hall close kitchen wardrobes mad room gym pool parking 3 bathroom 6 chqs,Mr SAMEER 01  3bhk 55k just,"AED 55,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3445,NULL,1,"31,624",No,UAE,Dubai,NSHAMA Town Square,Safi,NULL,3445,Open View No Commission Chiller Free Monthly Paymet 1 Month Free Gym Pool Parking All Facilities,Ramzan bn1 056,"AED 42,999 /yr",apartment,Monthly,"September 23rd, 2020"
3446,1,2,969,No,UAE,Dubai,Al Barsha,Al Barsha 1,NULL,3446,Al furjan chiller free two bed @60k,sam8921,"AED 60,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3447,1,1,"63,335",No,UAE,Dubai,NSHAMA Town Square,Safi Townhouses,NULL,3447,Al furjan Fully furnished studio for m 3200 with all bills,sam6754,"AED 24,000 /yr",apartment,Monthly,"September 23rd, 2020"
